City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Zhigansk,RU,66.7697,123.3711,-28.77,96,87,7.16,overcast clouds
322,Cao Bang,VN,22.6667,106.25,55.31,96,100,3.53,overcast clouds
323,Bilasipara,IN,26.232,90.2347,63.46,68,13,5.41,few clouds
324,Japura,ID,-0.3167,102.35,72.97,99,100,3.0,light rain
325,Dingle,PH,10.9995,122.6711,75.42,93,98,8.05,moderate rain
326,Agaro,ET,7.85,36.65,58.3,69,12,1.59,few clouds
327,Kavaratti,IN,10.5669,72.642,81.14,74,5,3.94,clear sky
328,Fortuna,US,40.5982,-124.1573,55.74,68,100,19.57,overcast clouds
329,Raul Soares,BR,-20.1022,-42.4519,77.68,80,37,2.91,light rain
330,Zabol,AF,32.25,67.25,42.55,45,65,4.5,broken clouds
331,Acapulco,MX,16.8634,-99.8901,85.82,66,40,5.75,scattered clouds
332,Faanui,PF,-16.4833,-151.75,80.06,77,15,12.77,few clouds
333,Saint Anthony,US,45.0205,-93.218,19.76,65,75,23.02,broken clouds
334,Birjand,IR,32.8663,59.2211,46.87,29,0,4.61,clear sky
335,Nantucket,US,41.2835,-70.0995,59.14,93,0,23.02,clear sky
336,Omboue,GA,-1.5746,9.2618,77.14,89,100,5.84,overcast clouds
337,Libertador General San Martin,AR,-23.8064,-64.7876,68.4,93,91,7.09,light rain
338,Touros,BR,-5.1989,-35.4608,79.14,68,100,11.56,overcast clouds
339,Yining,CN,29.0361,114.5636,29.48,90,100,2.91,light snow
340,Namatanai,PG,-3.6667,152.4333,81.64,75,67,2.89,broken clouds
341,Carmen,MX,18.6333,-91.8333,87.84,55,20,10.36,few clouds
342,Makakilo City,US,21.3469,-158.0858,83.61,64,100,3.94,overcast clouds
343,Zhanaozen,KZ,43.3,52.8,27.93,35,100,9.06,overcast clouds
